Address Number;Business Family;Business Unit;Customer;CustomerKey;Customer Type;Division;Line of Business;Phone;Region Code;Regional Sales Mgr;Search Type;City;Country;Customer Address 1;Customer Address 2;Customer Address 3;Customer Address 4;State;Zip Code
10002240;R3;1;ACS Shop;10002240;G2;2;Não informado;816-455-8733;3;S1;C;Medford;US;50 Mystic Avenue;Não informado;Não informado;Não informado;MA;2155
10000496;R3;1;AboveNet Shop;10000496;G2;1;Não informado;816-455-8733;5;S9;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10002244;O2;1;ACS Market;10002244;G2;2;Não informado;816-455-8733;2;S12;C;Statesville;US;Spicer Clark - Hurth Off Highway Div;1293 Glenway Drive;Não informado;Não informado;NC;28625
10000497;R3;1;Abplus Shop;10000497;G1;1;Não informado;816-455-8733;5;S16;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10002489;R3;1;ACT Supermarket;10002489;G2;2;Não informado;816-455-8733;2;S16;C;Villa Rica;US;PO Box 266;Não informado;Não informado;Não informado;GA;30180-0266
10000499;R3;1;ABSolute Shop;10000499;G2;1;Não informado;816-455-8733;5;S16;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10002501;R3;1;Action Supermarket;10002501;G1;1;Não informado;816-455-8733;5;S19;C;                         ;UK;Não informado;Não informado;Não informado;Não informado;Não informado;0
10000501;R3;1;Absolute Supermarket;10000501;G3;1;Não informado;816-455-8733;5;S5;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10002506;R3;1;ActionWorld Shop;10002506;G2;2;Não informado;816-455-8733;1;S16;C;Salt Lake City;US;Attention: Doris Nielson;PO Box 26005;Não informado;Não informado;UT;84126
10000502;R3;1;Abstract Shop;10000502;G1;1;M1;816-455-8733;5;S19;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10002526;R3;1;Active Shop;10002526;G1;1;M1;816-455-8733;5;S19;C;EE 0026 Tallinn;UK;Kadaka Road 72 a;Não informado;Não informado;Não informado;Não informado;0
10002709;R3;1;Active Store;10002709;G2;2;Não informado;816-455-8733;1;S1;C;Albany;US;PO Box 99;Não informado;Não informado;Não informado;OR;97321
10001103;R3;1;AC Store;10001103;G2;1;Não informado;816-455-8733;5;S16;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10002746;R3;1;Active Supermarket;10002746;G2;2;Não informado;816-455-8733;4;S9;C;Bensonville;US;1200 North Ellis Street;Não informado;Não informado;Não informado;IL;60106-1119
10001263;R3;1;AC&E Shop;10001263;G1;1;M1;816-455-8733;5;S19;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10002765;R3;1;Active Store;10002765;G2;2;Não informado;816-455-8733;2;S16;C;Hialeah;US;4760 NW 165th Street;Não informado;Não informado;Não informado;FL;33014
10001784;R2;1;Acacia Shop;10001784;G2;1;Não informado;816-455-8733;5;S11;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10002964;R3;1;ActiveC Shop;10002964;G3;1;Não informado;816-455-8733;0;S17;C;Edmonton;CA;7223 Girard Road;Não informado;Não informado;Não informado;AB;T6B 2C5
10001786;R3;1;Acara Shop;10001786;G2;1;Não informado;816-455-8733;5;S16;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10002969;R3;1;activeDesign Shop;10002969;G2;2;Não informado;816-455-8733;3;S1;C;Manassas;US;12000 Balls Ford Road;Não informado;Não informado;Não informado;VA;20109
10001818;R3;1;Acc Supermarket;10001818;G2;1;Não informado;816-455-8733;5;S16;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10003720;R2;1;Age Shop;10003720;G2;2;Não informado;816-455-8733;3;S5;C;Hermitage;US;2755 Kirila Boulevard;Não informado;Não informado;Não informado;PA;16148
10002114;R3;1;Accel Supermarket;10002114;G2;1;Não informado;816-455-8733;5;S1;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10003795;R3;1;Bechtel Supermarket;10003795;G2;2;Não informado;816-455-8733;2;S16;C;Baton Rouge;US;PO Box 2484;Não informado;Não informado;Não informado;LA;70815
10002115;R3;1;Accent Store;10002115;G1;1;M1;816-455-8733;5;S19;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10004245;R2;1;Bens Megaplace;10004245;G2;2;Não informado;816-455-8733;1;S3;C;Portland;US;4747 N Channel Ave;Não informado;Não informado;Não informado;OR;97208-3591
10002117;O2;1;Accent Market;10002117;G1;1;Não informado;816-455-8733;5;S1;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10004255;R3;1;Bendix Store;10004255;G1;1;M1;816-455-8733;5;S19;C;Seoul;AU;3F Shinwoo Building;195-12 Poi-Dong Kangnam-KU;Não informado;Não informado;Não informado;135-260
10002128;R3;1;Access Store;10002128;G1;1;M1;816-455-8733;5;S19;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10004256;R3;1;Benedict Shop;10004256;G2;2;Não informado;816-455-8733;1;S16;C;Portland;US;PO Box 20505;Não informado;Não informado;Não informado;OR;97294
10002136;R3;1;AccessWare Shop;10002136;G1;1;M1;816-455-8733;5;S20;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10004302;R3;1;Berkeley Supermarket;10004302;G2;2;M1;816-455-8733;2;S1;C;Baton Rouge;US;9555 Airline Highway;Não informado;Não informado;Não informado;LA;70815
10002137;R3;1;Accidental Shop;10002137;G2;1;Não informado;816-455-8733;5;S16;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10004516;R3;1;Besicorp Shop;10004516;G1;1;M1;816-455-8733;5;S19;C;Lighthorne Warwick;UK;Vehicle Operations;Building 540 53G/23/1;Banbury Road;Não informado;Não informado;CV35 ORG
10002138;R3;1;ACCPAC Store;10002138;G2;1;Não informado;816-455-8733;5;S16;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10005006;R1;1;Betacorp Shop;10005006;G2;2;Não informado;816-455-8733;1;S11;C;Boise;US;601 East Gowen Road;Não informado;Não informado;Não informado;ID;83716
10002139;R1;1;Accrue Shop;10002139;G2;1;Não informado;816-455-8733;5;S11;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10005043;R3;1;Bezeq Shop;10005043;G1;1;M1;816-455-8733;5;S18;C;San Jose;UK;Paseo Colon Calles 34-36;Não informado;Não informado;Não informado;Não informado;0
10002140;R3;1;Accton Shop;10002140;G2;1;Não informado;816-455-8733;5;S16;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10006037;R3;1;Bigelow Store;10006037;G1;2;Não informado;816-455-8733;2;S16;C;Miami;US;7225 NW 25th Street;Não informado;Não informado;Não informado;FL;33122
10002142;R2;1;AccuCom Shop;10002142;G2;1;Não informado;816-455-8733;5;S5;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10006093;R3;1;BigJobs Shop;10006093;G2;2;Não informado;816-455-8733;4;S9;C;Evansville;US;PO Box 5364;Não informado;Não informado;Não informado;IN;47716-5364
10002144;R2;1;ACCUCOMP Shop;10002144;G3;1;Não informado;816-455-8733;5;S8;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10006805;R3;1;Bitstream Shop;10006805;G1;2;Não informado;816-455-8733;2;S16;C;Miami;US;1801 NW 82nd Ave;Não informado;Não informado;Não informado;FL;33126
10002149;R3;1;AccuLAN Shop;10002149;G2;1;Não informado;816-455-8733;5;S16;I;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10006836;R3;1;Biz-comm Shop;10006836;G1;1;M1;816-455-8733;5;S16;C;Quito;UK;AV 6 DE DICIEMBRE;N47225 Y Samuel Fritz;Não informado;Não informado;Não informado;0
10002150;R3;1;Accumedic Store;10002150;G2;1;Não informado;816-455-8733;5;S16;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10006846;R3;1;Bizmarts Shop;10006846;G2;2;Não informado;816-455-8733;1;S1;C;Modesto;US;1023 Kansas Avenue;Não informado;Não informado;Não informado;CA;95351
10002153;R2;1;Ace Market;10002153;G2;1;Não informado;816-455-8733;5;S5;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10006848;R3;1;BizNet Supermarket;10006848;G2;2;Não informado;816-455-8733;3;S1;C;Fredericksburg;US;1101A Potomac Avenue;Não informado;Não informado;Não informado;VA;22405
10002154;R2;1;Acer Superstore;10002154;G3;1;Não informado;816-455-8733;5;S8;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10006862;R3;1;BL Supermarket;10006862;G2;2;Não informado;816-455-8733;2;S1;C;Pearl;US;4410 Highway 80 East;Não informado;Não informado;Não informado;MS;39209
10002155;R3;1;ACES Supermarket;10002155;G1;1;M1;816-455-8733;5;S18;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10007117;R3;1;Bre-X Shop;10007117;G1;1;M1;816-455-8733;5;S19;C;Taipei;AU;8F No.19 Chang Chun Road;Não informado;Não informado;Não informado;Não informado;104
10002159;R3;1;ACI Shop;10002159;G1;1;M1;816-455-8733;5;S19;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10007120;R3;1;Brinco Store;10007120;G2;2;Não informado;816-455-8733;1;S16;C;Rexburg;US;DBA Pronto Jobbers Warehouse;PO Box 409;Não informado;Não informado;ID;83440
10002161;R2;1;ACME Maxiplace;10002161;G2;1;Não informado;816-455-8733;5;S4;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10007121;R3;1;C Market;10007121;G2;2;Não informado;816-455-8733;4;S16;C;St Louis Park;US;5711 West 36th Street;Não informado;Não informado;Não informado;MN;55416
10007122;R3;1;C Store;10007122;G2;2;Não informado;816-455-8733;2;S16;C;Buda;US;22015 South I-35;Não informado;Não informado;Não informado;TX;78610
10007123;R3;1;C Supermarket;10007123;G2;2;Não informado;816-455-8733;2;S16;C;Little Rock;US;PO Box 194255;Não informado;Não informado;Não informado;AR;72219
10007309;R3;1;Cadtex Shop;10007309;G1;1;M1;816-455-8733;5;S19;C;                         ;UK;Limited Reg Number 28388;40 Devil's Tower Road;PO Box 176;Não informado;Não informado;0
10002412;R3;1;Acsior Shop;10002412;G1;1;M1;816-455-8733;5;S19;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10007355;R3;1;CAF Market;10007355;G2;2;Não informado;816-455-8733;2;S16;C;Amarillo;US;3601 Amarillo Boulevard East;Não informado;Não informado;Não informado;TX;79107
10007564;R2;1;CAM Market;10007564;G2;2;Não informado;816-455-8733;2;S1;C;Cleveland;US;1287 US Highway 59 North;Não informado;Não informado;Não informado;TX;77327
10007566;R2;1;Cambio Shop;10007566;G2;2;Não informado;816-455-8733;4;S9;C;St Joseph;US;2106 South Riverside Road;Não informado;Não informado;Não informado;MO;64507-9799
10007577;R3;1;Cam-Built Supermarket;10007577;G2;2;Não informado;816-455-8733;3;S1;C;Stewartsville;US;2621 State Route 57;Não informado;Não informado;Não informado;NJ;8886
10002520;R3;1;ActivCard Shop;10002520;G1;1;M1;816-455-8733;5;S19;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10007591;R3;1;ComeStore;10007591;G1;1;M1;816-455-8733;5;S19;C;FIN 00710;UK;Hiekkakiventie 7;Não informado;Não informado;Não informado;Não informado;710
10007866;R3;1;Camros Shop;10007866;G1;1;M1;816-455-8733;5;S16;C;Sao Paulo;UK;Rua Sepetiba 464;Não informado;Não informado;Não informado;Não informado;5052
10008134;R3;1;Canter Shop;10008134;G2;2;M1;816-455-8733;3;S16;C;Petersburg;US;23308 Airpark Drive;Não informado;Não informado;Não informado;VA;23803
10008381;R3;1;CAPCON Shop;10008381;G2;2;Não informado;816-455-8733;1;S1;C;Puyallup;US;10023 128th St. E #7;Não informado;Não informado;Não informado;WA;98373
10008593;R2;1;Capitola Market;10008593;G2;2;Não informado;816-455-8733;4;S5;C;Highland;US;PO Box 99;Não informado;Não informado;Não informado;IL;62249
10008596;R4;1;Capitolnet Supermarket;10008596;G2;2;Não informado;816-455-8733;2;S18;C;Springhill;US;PO Box 578;Não informado;Não informado;Não informado;LA;71075
10008602;R3;1;Caprica Supermarket;10008602;G2;2;Não informado;816-455-8733;3;S1;C;Wells;US;209 Sanford Road (Route 109);Não informado;Não informado;Não informado;ME;4090
10003554;R3;1;Ad Supermarket;10003554;G1;1;M1;816-455-8733;5;S19;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10008638;R3;1;CAPTA Shop;10008638;G2;2;Não informado;816-455-8733;3;S1;C;Milesburg;US;301 Iddings Street;PO Box 865;Não informado;Não informado;PA;16853
10003687;R3;1;Ad-vantage Shop;10003687;G2;1;Não informado;816-455-8733;5;S1;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10008893;R3;1;Caravelle Shop;10008893;G2;2;Não informado;816-455-8733;1;S1;C;Yakama;US;508 South First Street;Não informado;Não informado;Não informado;WA;98901
10009156;R3;1;Carden Supermarket;10009156;G2;2;Não informado;816-455-8733;4;S1;C;Attica;US;DBA Badlands Off Road Park;3968 North Xavier Road;Não informado;Não informado;IN;47918
10003749;R3;1;Associates Shop;10003749;G1;1;M1;816-455-8733;5;S19;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10009356;R1;1;Central Supermarket;10009356;G2;2;Não informado;816-455-8733;4;S11;C;Cape Girardeau;US;Global Motorsport Parts Inc;PO Box 1179;Não informado;Não informado;MO;63702
10009606;R3;1;Champs Gigaplace;10009606;G1;1;M1;816-455-8733;5;S19;C;Kilsyth;UK;PO Box 105;Não informado;Não informado;Não informado;Não informado;3136
10003857;R3;1;Beckman Market;10003857;G2;1;Não informado;816-455-8733;5;S1;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10009623;R3;1;Chas Market;10009623;G2;2;Não informado;816-455-8733;2;S16;I;Gretna;US;2125 Whitney Avenue;Não informado;Não informado;Não informado;LA;70056
10003882;R3;1;Beech Supermarket;10003882;G2;1;Não informado;816-455-8733;5;S16;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10009631;R3;1;Clearout Shop;10009631;G2;2;Não informado;816-455-8733;1;S16;C;Corona;US;1477 Davril Circle;Não informado;Não informado;Não informado;CA;92880
10004207;R3;1;Bell Store;10004207;G1;1;M1;816-455-8733;5;S19;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10009633;R3;1;Dan Store;10009633;G2;1;Não informado;816-455-8733;5;S16;C;                         ;UK;Não informado;Não informado;Não informado;Não informado;Não informado;0
10009639;R3;1;Data Supermarket;10009639;G1;1;M1;816-455-8733;5;S19;C;Industriestrasse 17;UK;Industriestrasse 17;8910 Affoltern AA;Não informado;Não informado;Não informado;0
10009642;R3;1;David Store;10009642;G2;2;Não informado;816-455-8733;4;S16;C;Joliet;US;812 Draper Avenue;Não informado;Não informado;Não informado;IL;60432
10009643;R3;1;David Store;10009643;G2;2;Não informado;816-455-8733;4;S9;C;Flint;US;4103 Holiday Drive;Não informado;Não informado;Não informado;MI;48507
10009647;R3;1;Dayton Supermarket;10009647;G2;2;Não informado;816-455-8733;1;S16;C;Sacramento;US;3248 Auburn Boulevard;Não informado;Não informado;Não informado;CA;95821
10009650;R3;1;Dayton Store;10009650;G1;1;M1;816-455-8733;5;S16;C;La Paz;UK;Plaza Venezuela 1413-1425;Não informado;Não informado;Não informado;Não informado;0
10004602;R3;1;Best Supermarket;10004602;G2;1;Não informado;816-455-8733;5;S16;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10009652;R1;1;Dci Shop;10009652;G3;1;Não informado;816-455-8733;0;S21;C;Valcourt;CA;550 Du Parc Boulevard;Não informado;Não informado;Não informado;QU;J0E 2L0
10009653;R2;1;DCP Supermarket;10009653;G3;1;Não informado;816-455-8733;0;S8;C;Mississauga;CA;3355 American Drive;Não informado;Não informado;Não informado;ON;L4V 1B3
10009654;R3;1;DCS Store;10009654;G2;2;Não informado;816-455-8733;2;S16;C;Brownsville;US;904 Billy Mitchell Boulevard;Não informado;Não informado;Não informado;TX;78521
10005099;R3;1;BF Supermarket;10005099;G2;1;Não informado;816-455-8733;5;S16;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10009656;R3;1;DCS Market;10009656;G2;2;Não informado;816-455-8733;1;S16;C;Trinity Center;US;PO Box 450;Não informado;Não informado;Não informado;CA;96091
10005236;R3;1;BH Supermarket;10005236;G2;1;Não informado;816-455-8733;5;S16;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10009657;R3;1;DC-Works Shop;10009657;G2;2;Não informado;816-455-8733;3;S16;C;Lewiston;US;12 Lexington Street;Não informado;Não informado;Não informado;ME;4240
10005376;R3;1;Bibb Store;10005376;G2;1;Não informado;816-455-8733;5;S1;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10009660;R1;1;DDR Shop;10009660;G2;2;Não informado;816-455-8733;2;S22;C;Augusta;US;PO box 204658;Não informado;Não informado;Não informado;GA;30917-4658
10005620;R3;1;BidCast Shop;10005620;G2;1;Não informado;816-455-8733;5;S1;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10009662;R3;1;De Store;10009662;G2;2;Não informado;816-455-8733;3;S1;C;West Point;US;610 Garfield Avenue;Não informado;Não informado;Não informado;PA;19486
10005688;R3;1;Bien Supermarket;10005688;G2;1;Não informado;816-455-8733;5;S9;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10009669;R3;1;De Store;10009669;G2;1;Não informado;816-455-8733;5;S14;C;                         ;UK;Não informado;Não informado;Não informado;Não informado;Não informado;0
10005810;R3;1;Big Shop;10005810;G1;1;M1;816-455-8733;5;S19;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10009672;R3;1;DEAC Shop;10009672;G2;2;Não informado;816-455-8733;1;S16;C;Phoenix;US;Attention: Accounts Payable;PO Box 21502;Não informado;Não informado;AZ;85036
10005861;R3;1;Big Supermarket;10005861;G1;1;M1;816-455-8733;5;S19;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10009676;R3;1;Pereras;10009676;G2;2;Não informado;816-455-8733;4;S16;C;Kalamazoo;US;167 East Kalamazoo Avenue;Não informado;Não informado;Não informado;MI;49007
10005919;R3;1;Big Store;10005919;G2;1;Não informado;816-455-8733;5;S4;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10009679;R3;1;Debenhams Supermarket;10009679;G2;2;Não informado;816-455-8733;2;S16;C;Meridian;US;2400 Highway 19N;Não informado;Não informado;Não informado;MS;39307
10005922;R3;1;Big Supermarket;10005922;G2;1;Não informado;816-455-8733;5;S1;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10009697;R2;1;Debian Shop;10009697;G2;2;Não informado;816-455-8733;2;S5;I;Orlando;US;4455 Dardanelle Drive;Não informado;Não informado;Não informado;FL;32808
10009863;R3;1;Deere Store;10009863;G1;1;M1;816-455-8733;5;S19;C;Beijing 100088;UK;PO Box 065;Não informado;Não informado;Não informado;Não informado;0
10009885;R3;1;Degolyer Supermarket;10009885;G3;1;Não informado;816-455-8733;0;S5;C;Winnipeg;CA;PO Box 7100;Não informado;Não informado;Não informado;MB;R3C 3B3
10009907;R2;1;Del Supermarket;10009907;G2;2;Não informado;816-455-8733;2;S9;C;Elizabethtown;US;PO Box 2143;Não informado;Não informado;Não informado;KY;42702-2143
10009985;R3;1;E Supermarket;10009985;G2;2;M1;816-455-8733;1;S16;C;West Jordan;US;PO Drawer 40;Não informado;Não informado;Não informado;UT;84084
10010698;R3;1;Earth Shop;10010698;G2;2;Não informado;816-455-8733;1;S16;C;Gardena;US;17010 S Main Street;PO Box 88;Não informado;Não informado;CA;90248
10010717;R2;1;East Shop;10010717;G2;2;Não informado;816-455-8733;4;S5;C;Waterville;US;208 W Main;Não informado;Não informado;Não informado;KS;66548
10010884;R3;1;EDC Supermarket;10010884;G3;1;M1;816-455-8733;0;S5;C;Boucherville;CA;170 Industrial Boulevard;Não informado;Não informado;Não informado;QU;J4B 2X3
10006916;R3;1;Boott Store;10006916;G2;1;Não informado;816-455-8733;5;S16;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10010886;R1;1;EDGE Supermarket;10010886;G2;2;Não informado;816-455-8733;1;S11;C;Libby;US;522 Montana Avenue;Não informado;Não informado;Não informado;MT;59923
10006917;R3;1;Borden Supermarket;10006917;G2;1;Não informado;816-455-8733;5;S1;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10010887;R3;1;Edia Shop;10010887;G3;1;Não informado;816-455-8733;0;S5;C;Edmonton;CA;9605 56th Avenue;Não informado;Não informado;Não informado;AB;T6E 0B2
10006919;R3;1;Hoovey SuperStore;10006919;G1;1;M1;816-455-8733;5;S19;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10010897;R2;1;Edify Shop;10010897;G2;2;Não informado;816-455-8733;2;S2;C;Whitehouse;US;PO Box 588;Não informado;Não informado;Não informado;TN;37188
10006977;R3;1;Brazilian Supermarket;10006977;G2;1;Não informado;816-455-8733;5;S16;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10010904;R3;1;eDistrict Shop;10010904;G2;2;Não informado;816-455-8733;4;S1;C;Burnsville;US;3513 West Highway 13;Não informado;Não informado;Não informado;MN;55337
10006983;O1;1;Brentano's Shop;10006983;G2;1;Não informado;816-455-8733;5;S5;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10010906;R3;1;ediSys Shop;10010906;G2;2;Não informado;816-455-8733;3;S1;C;Frederick;US;5702 Industry Lane Unit B1 & 2;Não informado;Não informado;Não informado;MD;21704
10010912;R3;1;edit.nl Shop;10010912;G2;2;M1;816-455-8733;2;S16;C;Fort Smith;US;PO Box 849;Não informado;Não informado;Não informado;AR;72902-0849
10010914;R3;1;Editor Shop;10010914;G2;2;M1;816-455-8733;4;S16;C;Overland Park;US;Attention  Accounts Payable Department;PO Box 12990;Não informado;Não informado;KS;66282-2990
10010923;O2;1;Edmark Shop;10010923;G1;1;Não informado;816-455-8733;5;S1;C;Seocho-GU;AU;231 Yangjae Dong;Não informado;Não informado;Não informado;Não informado;137-938
10010935;R2;1;Edna Megaplace;10010935;G2;2;Não informado;816-455-8733;4;S5;C;Sioux Center;US;877 1st Avenue NW;Não informado;Não informado;Não informado;IA;51250
10010969;R3;1;Edorex Supermarket;10010969;G2;2;Não informado;816-455-8733;4;S16;C;Elkhart;US;317 North Main Street;Não informado;Não informado;Não informado;IN;46516
10007134;R3;1;C&C Shop;10007134;G2;1;M1;816-455-8733;5;S1;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10010970;R3;1;EDP Shop;10010970;G2;2;Não informado;816-455-8733;2;S1;C;Irving;US;1477 E Highway 356;Não informado;Não informado;Não informado;TX;75060
